progress/problems,perf/calls_to_generate,progress/total_problems,progress/samples,progress/total_tokens,prompt_len/max,seq_len/max,completion_len/max,step,time/generate_completions,seq_len/min,perf/problem_requests,time/step,metrics/pattern_reward,is_truncated/mean,completion_len/mean,_timestamp,metrics/affix_reward,progress/tokens,seq_len/mean,time/update_weights,progress/total_samples,batch/solve_all,_runtime,metrics/char_overlap_reward,_step,perf/throughput,batch/solve_none,batch/effective_batch_size,reward/mean,perf/completion_requests,time/save_ckpt,metrics/length_penalty_reward,prompt_len/min,prompt_len/mean,time/wait_for_weight_ckpt,completion_len/min,metrics/exact_match_reward,is_truncated/min,progress/ckpt_step,is_truncated/max
32,1,32,256,147877.0,235,747.0,512.0,0,6.941176176071167,354.125,32,7.607558012008667,0,0.3984375,444.92578125,1762700976.5006485,0.953125,147877,577.64453125,0.0,256,0,40.019084962,0.03840884241345335,0,21304.314463273153,0,1,0.12016018782975002,256,0.0,0.11443946231372892,101,132.71875,0.0,252.125,0,0,0,1.0
32,1,64,256,287808.0,230,742.0,512.0,1,7.739130020141602,381.375,32,8.150796175003052,0,0.34765625,422.48046875,1762700984.6552114,0.9954427083333334,139931,546.60546875,0.0,512,0,56.085995418,0.03947487846242615,1,18080.972878840417,0,1,0.12408305218537165,256,0.0,0.1109587043970206,97,124.125,0.0,279.375,0,0,0,1.0
32,1,96,256,429613.0,192,697.0,512.0,2,5.29359245300293,363.0,32,16.062870264053345,0,0.3828125,427.42578125,1762701000.721705,0.9921875,141805,553.92578125,0.9950122833251953,768,0,66.497754747,0.04180112078129281,2,26788.04635206803,0,1,0.12541859680793221,256,0.0,0.11893081767782433,97,126.5,9.010317087173462,266.0,0,0,1,1.0
32,1,128,256,570326.0,232,719.375,509.125,3,6.036743402481079,381.0,32,10.407559871673584,0,0.36328125,424.75390625,1762701011.1331325,0.9856770833333334,140713,549.66015625,0.9212672710418701,1024,0,74.725425393,0.05430700636916808,3,23309.42208710867,0,1,0.12822494248621463,256,0.0,0.12530555252698464,97,124.90625,3.0036747455596924,281.0,0,0,2,0.75
32,1,160,256,703853.0,180,689.625,511.625,4,4.885668992996216,325.625,32,8.22374963760376,0,0.28515625,403.08984375,1762701019.3612053,0.994140625,133527,521.58984375,0.8676245212554932,1280,0,85.222772257,0.05021870604771466,4,27330.34108356825,0,1,0.12743313055973277,256,0.0,0.11983551233459899,96,118.5,2.0025577545166016,229.625,0,0,3,0.875
32,1,192,256,835034.0,229,741.0,512.0,5,4.7342095375061035,325.625,32,10.492909908294678,0,0.22265625,393.30078125,1762701029.858345,0.9817708333333333,131181,512.42578125,0.8968403339385986,1536,0,95.56200339,0.039492666632411404,5,27709.16643227072,0,1,0.12298696760745986,256,0.0,0.11274233965096173,96,119.125,4.004532098770142,229.625,0,0,4,1.0
32,1,224,256,976051.0,199,711.0,512.0,6,5.983205318450928,372.375,32,10.33571457862854,0,0.33984375,421.91015625,1762701040.1977391,0.998046875,141017,550.84765625,0.8941142559051514,1792,0,103.895957584,0.04591972036510657,6,23568.805096013282,0,1,0.1270462360356014,256,0.0,0.12038402975053404,98,128.9375,3.0037388801574707,266.375,0,0,5,1.0
32,1,256,256,1113923.0,180,688.625,512.0,7,5.809394836425781,328.5,32,8.330441236495972,0,0.33203125,412.46875,1762701048.5316927,1.0,137872,538.5625,1.0683181285858154,2048,0,115.03553827,0.06008463747376513,7,23732.59244414268,0,1,0.13166391303948144,256,0.0,0.13097990363152298,97,126.09375,1.0011050701141357,231.5,0,0,6,1.0
32,1,288,256,1257450.0,192,698.125,509.125,8,5.753759860992432,416.375,32,11.135952234268188,0,0.33203125,427.33984375,1762701059.6712573,0.9674479166666667,143527,560.65234375,0.9325437545776367,2304,0,123.794854614,0.05155913195427053,8,24944.906194824038,0,1,0.12556986420306596,256,0.0,0.12342164097030121,99,133.3125,4.004682302474976,308.375,0,0,7,0.875
32,1,320,256,1402233.0,176,683.875,512.0,9,5.460334539413452,387.5,32,8.755736351013184,0,0.37890625,432.24609375,1762701068.430541,1.0,144783,565.55859375,0.842820405960083,2560,0,135.678068272,0.060559699895998,9,26515.408342645715,0,1,0.1312616282232053,256,0.0,0.1276645882933715,105,133.3125,2.0025386810302734,282.5,0,0,8,1.0
