|     step |   char_overlap_norm |   affix_norm |   exact_match_norm |   w_char |   w_affix |   w_exact |   difficulty_multiplier |   length_penalty_norm |   composite_predicted |   reward_scalar |   composite_diff |
|---------:|--------------------:|-------------:|-------------------:|---------:|----------:|----------:|------------------------:|----------------------:|----------------------:|----------------:|-----------------:|
|   0.0000 |              0.2649 |       0.9570 |             0.0013 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.4383 |                0.1049 |          0.1049 |              nan |
|   1.0000 |              0.3531 |       1.0000 |             0.1224 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.5716 |                0.2038 |          0.2038 |              nan |
|   2.0000 |              0.2899 |       0.9891 |             0.0391 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.4795 |                0.1366 |          0.1366 |              nan |
|   3.0000 |              0.2937 |       0.9883 |             0.0807 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.5102 |                0.1596 |          0.1596 |              nan |
|   4.0000 |              0.3327 |       0.9735 |             0.0794 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.5211 |                0.1700 |          0.1700 |              nan |
|   5.0000 |              0.2952 |       1.0000 |             0.0859 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.5942 |                0.1741 |          0.1741 |              nan |
| 193.0000 |              0.5646 |       0.9167 |             0.2018 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.9978 |                0.3420 |          0.3420 |              nan |
| 194.0000 |              0.5744 |       0.9792 |             0.1445 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.9880 |                0.3228 |          0.3228 |              nan |
| 195.0000 |              0.5978 |       0.9863 |             0.2500 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.9872 |                0.3797 |          0.3797 |              nan |
| 196.0000 |              0.5749 |       0.9375 |             0.1667 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.9971 |                0.3299 |          0.3299 |              nan |
| 197.0000 |              0.6189 |       0.9896 |             0.2292 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                0.9850 |                0.3753 |          0.3753 |              nan |
| 198.0000 |              0.6192 |       1.0000 |             0.1000 |   0.2000 |    0.1000 |    0.4000 |                  1.2000 |                1.0000 |                0.3166 |          0.3166 |              nan |
